Code;Bahnhof_Haltestelle;Bezugsjahr;DTV;DMW;Eigner;Bemerkung;geopos;lod
ZUE;Zürich HB;2016-01-01;420700;466800.0;SBB;"Umfasst auch ZLOE, ZMUS und ZUSZ; ohne Uetlibergbahn der SZU.";47.3781765756, 8.54019221036;http://lod.opentransportdata.swiss/didok/8503000
ZWD;Zweidlen;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.5704402649, 8.46789206212;http://lod.opentransportdata.swiss/didok/8503405
ZWOL;Zürich Wollishofen;2016-01-01;3200;3500.0;SBB;;47.3474399219, 8.53358828018;http://lod.opentransportdata.swiss/didok/8503009
ZB;Ziegelbrücke;2016-01-01;8900;9600.0;SBB;;47.1361516592, 9.06003718984;http://lod.opentransportdata.swiss/didok/8503225
KE;Kemptthal;2016-01-01;560;640.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.452833265, 8.70557069755;http://lod.opentransportdata.swiss/didok/8503304
HI;Hinwil;2016-01-01;2500;2900.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.3000509, 8.83969785564;http://lod.opentransportdata.swiss/didok/8503130
HPT;Hauptwil;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.4768608536, 9.25157587262;http://lod.opentransportdata.swiss/didok/8506212
HGO;Horgen Oberdorf;2016-01-01;2200;2700.0;SBB;;47.2587470381, 8.58980260632;http://lod.opentransportdata.swiss/didok/8502208
HOBK;Holderbank AG;2016-01-01;310;390.0;SBB;;47.4286345989, 8.16659869889;http://lod.opentransportdata.swiss/didok/8502128
HDK;Hendschiken;2016-01-01;400;500.0;SBB;;47.3894242237, 8.20737399629;http://lod.opentransportdata.swiss/didok/8502211
KLB;Kloten Balsberg;2016-01-01;1600;1900.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.4422864693, 8.57070137795;http://lod.opentransportdata.swiss/didok/8503309
KNO;Knonau;2016-01-01;920;1100.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.2202591199, 8.4667085831;http://lod.opentransportdata.swiss/didok/8502226
KL;Kloten;2016-01-01;5100;5700.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.4486070251, 8.58379121249;http://lod.opentransportdata.swiss/didok/8503308
LAN;Langwiesen;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.6834480371, 8.66229616245;http://lod.opentransportdata.swiss/didok/8503426
KOL;Kollbrunn;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.4583242963, 8.77399383924;http://lod.opentransportdata.swiss/didok/8506004
KLW;Killwangen-Spreitenbach;2016-01-01;3800;4500.0;SBB;;47.433328238, 8.35419430986;http://lod.opentransportdata.swiss/didok/8503506
